# PAGES2kv2_Ocean2kHR-PacificQuinn2008RabaulLMR667 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ocean2kHR-PacificQuinn2008RabaulLMR667 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Quinn, Terrence M.,Taylor, Frederick W.,Crowley, Thomas J.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Quinn, Terrence M.,Taylor, Frederick W.,Crowley, Thomas J.
#	Published_Date_or_Year: 
#	Published_Title: Coral-based climate variability in the Western Pacific Warm Pool since 1867
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1029/2005JC003243
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Rabaul
#	Location: 
#	Country: 
#	Northernmost_Latitude: -4.1916
#	Southernmost_Latitude: -4.1916
#	Easternmost_Longitude: 151.9772
#	Westernmost_Longitude: 151.9772
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ocean2kHR-PacificQuinn2008RabaulLMR667
#	Earliest_Year: 1867.38
#	Most_Recent_Year: 1997.54
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"duplicate":"06papu01a.txt"} {"database":"PAGES2"}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea_surface", "interpDirection":"negative", "seasonality":""}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##Sr/Ca	strontium calcium ratio, , , mmol/mol, , Corals and Sclerosponges, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	Sr/Ca
1953.38	8.76783
1953.29	8.7542
1953.21	8.73266
1953.13	8.71609
1953.04	8.72369
1952.96	8.72091
1952.88	8.71354
1952.79	8.70587
1952.71	8.72441
1952.63	8.72087
1952.54	8.72
1952.46	8.72179
1952.38	8.72021
1952.29	8.70573
1952.21	8.68868
1952.13	8.6928
1952.04	8.6971
1951.96	8.70858
1951.88	8.71882
1951.79	8.74504
1951.71	8.76751
1951.63	8.79057
1951.54	8.79623
1951.46	8.80446
1951.38	8.78262
1951.29	8.76191
1951.21	8.73385
1951.13	8.74958
1951.04	8.78047
1950.96	8.77604
1950.88	8.7678
1950.79	8.7583
1950.71	8.75546
1950.63	8.76935
1950.54	8.77012
1950.46	8.75325
1950.38	8.75709
1950.29	8.75931
1950.21	8.74224
1950.13	8.74015
1950.04	8.70449
1949.96	8.70348
1949.88	8.71005
1949.79	8.73045
1949.71	8.7457
1949.63	8.73359
1949.54	8.71765
1949.46	8.72343
1949.38	8.74276
1949.29	8.73874
1949.21	8.72781
1949.13	8.72857
1949.04	8.72664
1948.96	8.73318
1948.88	8.74346
1948.79	8.76374
1948.71	8.76508
1948.63	8.72623
1948.54	8.72773
1948.46	8.76478
1948.38	8.78652
1948.29	8.79826
1948.21	8.76777
1948.13	8.73638
1948.04	8.73164
1947.96	8.73353
1947.88	8.73012
1947.79	8.7307
1947.71	8.72783
1947.63	8.69528
1947.54	8.68816
1947.46	8.6888
1947.38	8.6932
1947.29	8.69777
1947.21	8.69623
1947.13	8.69415
1947.04	8.69918
1946.96	8.70665
1946.88	8.71917
1946.79	8.73188
1946.71	8.74148
1946.63	8.75257
1946.54	8.76843
1946.46	8.76011
1946.38	8.73422
1946.29	8.73201
1946.21	8.72876
1946.13	8.71027
1946.04	8.70857
1945.96	8.71774
1945.88	8.71671
1945.79	8.71891
1945.71	8.76948
1945.63	8.79484
1945.54	8.79764
1945.46	8.76156
1945.38	8.73409
1945.29	8.7297
1945.21	8.71214
1945.13	8.71605
1945.04	8.70593
1944.96	8.7157
1944.88	8.72346
1944.79	8.72331
1944.71	8.7121
1944.63	8.71356
1944.54	8.74524
1944.46	8.75664
1944.38	8.74268
1944.29	8.73421
1944.21	8.74723
1944.13	8.75455
1944.04	8.75
1943.96	8.7203
1943.88	8.71176
1943.79	8.70956
1943.71	8.70522
1943.63	8.71862
1943.54	8.75519
1943.46	8.7514
1943.38	8.72664
1943.29	8.71626
1943.21	8.71958
1943.13	8.74265
1943.04	8.7306
1942.96	8.71152
1942.88	8.73179
1942.79	8.74265
1942.71	8.7456
1942.63	8.74339
1942.54	8.72746
1942.46	8.69306
1942.38	8.68298
1942.29	8.68485
1942.21	8.68247
1942.13	8.70289
1942.04	8.72985
1941.96	8.71844
1941.88	8.72595
1941.79	8.76234
1941.71	8.81474
1941.63	8.85619
1941.54	8.85497
1941.46	8.82534
1941.38	8.78954
1941.29	8.75733
1941.21	8.73382
1941.13	8.72133
1941.04	8.74606
1940.96	8.76088
1940.88	8.76589
1940.79	8.78854
1940.71	8.80753
1940.63	8.813
1940.54	8.81523
1940.46	8.82025
1940.38	8.82109
1940.29	8.7844
1940.21	8.74782
1940.13	8.73216
1940.04	8.72981
1939.96	8.72595
1939.88	8.73893
1939.79	8.76068
1939.71	8.72796
1939.63	8.74135
1939.54	8.77064
1939.46	8.77784
1939.38	8.75818
1939.29	8.74716
1939.21	8.74048
1939.13	8.73249
1939.04	8.73724
1938.96	8.72393
1938.88	8.74201
1938.79	8.7512
1938.71	8.7536
1938.63	8.76757
1938.54	8.74612
1938.46	8.72812
1938.38	8.75961
1938.29	8.75407
1938.21	8.7526
1938.13	8.7692
1938.04	8.74878
1937.96	8.72057
1937.88	8.74488
1937.79	8.7594
1937.71	8.74405
1937.63	8.72694
1937.54	8.72816
1937.46	8.72139
1937.38	8.72355
1937.29	8.70943
1937.21	8.7004
1937.13	8.72892
1937.04	8.73309
1936.96	8.71971
1936.88	8.72565
1936.79	8.74001
1936.71	8.72444
1936.63	8.71067
1936.54	8.69904
1936.46	8.69018
1936.38	8.69299
1936.29	8.71555
1936.21	8.72675
1936.13	8.7058
1936.04	8.69318
1935.96	8.69372
1935.88	8.70244
1935.79	8.71538
1935.71	8.716
1935.63	8.71866
1935.54	8.72715
